ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B0CDQHK8VG,Men&#x27;s Natural Deodorant - Aluminum-Free Deodorant from Dr. Squatch - Natural Deodorizer - made w/charcoal - Deodorant for Men - Smell fresh with Rainforest Rapids and Wood Barrel Bourbon (2 Pk),deodorant,men,5,157,4.5,,$34.95
B09YK5F5NC,"Dr. Squatch Natural Deodorant for Men 3 Pack Fresh Falls – Odor-Squatching Men&#x27;s Deodorant Aluminum Free (2.65 oz, 3 Pack)",deodorant,men,8,1603,4.4,,$39.16
B08TWFRWC8,"Dr. Squatch Natural Deodorant for Men – Odor-Squatching Men&#x27;s Deodorant Aluminum Free - Alpine Sage + Fresh Falls (2.65 oz, 2 Pack)",deodorant,men,1,7407,4.3,,$34.95
B000PGZZGI,"Anthony Alcohol Free, Aluminum Free Deodorant for Men – Non-Irritant Cool Gel Stick for Sensitive Skin – Sport Strength Stick Prevents Odor All Day – Clear, Stain Free – 2.5 Fl Oz",deodorant,men,1,380,4.1,,$22.00
B08HGLF81L,"Malin + Goetz Bergamot Deodorant, 2.6 oz.",deodorant,men,3,247,4,,$24.00
B001NWBNX2,Geir Ness Men Deodorant - Alcohol and Aluminum Free Deodorant - Odor Protection for Sensitive Skin - Light and Long Lasting Cool and Clean Scent,deodorant,men,3,93,4.2,,$26.00
B07YCPR6BF,"No. 024 Mens Deodorant 2.5 oz (3 Pack) Natural Deodorant for Men, Aluminum Free Stick, Made with Coconut Oil, Shea Butter &amp; Jojoba, Only No-Nonsense Ingredients, Fresh &amp; Woodsy Scent",deodorant,men,3,692,3.9,,$36.00
B076ZQVR6K,"Mitchum Men&#x27;s Deodorant, Antiperspirant Stick, Triple Odor Defense Invisible Solid, 48 Hr Protection, Dermatologist Tested, Intense Energy, 2.7 Oz (Pack of 1)",deodorant,men,3,14720,4.7,,$5.89
B0C9V81Z8S,"Every Man Jack Pacific Cypress Men’s Deodorant - Stay Fresh with Aluminum Free Deodorant For all Skin Types - Odor Crushing, Long Lasting, with Naturally Derived Ingredients - 3oz",deodorant,men,6,2291,4.1,,$14.99
B0BTYWQ2VW,"Viking Revolution Tea Tree Deodorant for Men - Natural Deodorant for Men Charcoal Deodorant Men with Shea Butter, Coconut Oil, Baking Soda, Beeswax - Mens Deodorant Aluminum Free (3oz)",deodorant,men,3,652,4,,$9.88
