ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0C4KRT2XS,"For Women Salon Hairstyling Stickers DIY Baby Fashion Hair Hair Care People Shampoo (G, One Size)",shampoo,women,,,,,
B0CC9CHPLK,For HairSolid Shampoo Hair Women And Vegan For Treated Dry Damaged Natural For Men Shampoo Bar Hair Soap Hair Toner for Brunettes,shampoo,women,,,,,
B01N5P12DZ,"Dove Ultra Care Shampoo Coconut & Hydration for Dry Hair Shampoo with Coconut Oil, Jojoba Oil & Sweet Almond Oil 12 oz",shampoo,women,200.0,4.6,,2.38,
B01N6SI37M,"Pantene Pro-V Daily Moisture Renewal Hydrating Shampoo, 3.38 fl oz",shampoo,women,1710.0,4.7,,,
B003VDEBXU,"Nexxus Hair Color Assure Sulfate Free Shampoo with ProteinFusion, For Colored Treated Hair Color Shampoo 3 oz",shampoo,women,16.0,3.4,,2.5,
B0C4FQT1ZD,"For Treated Natural Vegan Women For HairSolid Dry And Shampoo Shampoo Soap Hair Hair Damaged For Men Bar Shampoo for Thin Brittle Hair (L, One Size)",shampoo,women,,,,2.67,
B0016BO7PQ,"Giovanni Hair Care Products Shampoo Tea Tree Triple Treat, 2 Fluid Ounce",shampoo,women,87.0,4.4,,5.49,
B000N3PF7M,Giovanni Smooth As Silk™ Deep Moisture Shampoo -- 2 fl oz,shampoo,women,45.0,3.4,,6.04,
B01B7U7ZCW,"Pantene Pro-V Smooth & Sleek Shampoo, 3.38 fl oz",shampoo,women,13.0,3.4,,,
B0C93ZTMZD,"Black & Thick Hair Fallopia Multiflora Shampoo Bar, Darkening Shampoo Bar for Gray Hair, He Shou Wu Extract Shampoo, He Shou Wu Shampoo Soap, Promotes Hair Growth and Prevents Hair Loss (1PC)",shampoo,women,,,,2.99,
B0CTFPLJG6,"Hair Dye Shampoo 3 in 1, Natural Hair Dye for Gray Hair Coverage, Herbal Ingredients Hair Color Shampoo for Women Men Gray Coverage, Black Hair Dye Coloring in Minutes (brown)",shampoo,women,,,,2.99,
B0CTDPYCKC,"Solid Shampoo Bar – Natural Shampoo Bar and conditioner For Dry Hair, - Hair Soap with Natural Ingredients - Vegan Solid Shampoo For All Hair Types - Any Curly, Wavy, Gray, Straight, (M, One Size)",shampoo,women,,,,2.99,
B0BRRB5CX2,"For HairSolid Shampoo Hair Women And Vegan For Treated Dry Damaged Natural For Men Shampoo Bar Hair Soap Conditioner for Frizzy Hair (J, One Size)",shampoo,women,,,,3.03,
B09K11P5R5,"Pantene Shampoo with Frizz Control, Smooth & Sleek, Safe for Color-Treated Hair, 355 mL",shampoo,women,49.0,4.5,,3.28,
B0B8CS66JN,"Vegan Dry Hair Bar Hair For Men For HairSolid Shampoo Shampoo And Damaged Women Soap Natural For Treated Hair Silk (H, One Size)",shampoo,women,,,,3.28,
B082HP1FR8,Sel Adjusting Moisturizing Shampoo 13 oz,shampoo,women,17.0,4.2,,3.29,
B08TNY1K7Y,Suave Clarifying Shampoo for Oily Hair Tea Tree Hemp Seed Oil Paraben Free 12.6 oz,shampoo,women,275.0,4.5,,3.29,
B0037LMGVU,Suave Moisturizing Shampoo Almond + Shea Butter Paraben Free 12.6 oz,shampoo,women,144.0,4.4,,3.29,
B0BZYDG8XS,"Damaged Soap Shampoo Hair For HairSolid Hair Natural And Shampoo Vegan For Treated Bar Dry Women For Men Curl Rehab (A, One Size)",shampoo,women,,,,3.33,
B0BZY7Z7CH,"Vegan Dry Hair Bar Hair For Men For HairSolid Shampoo Shampoo And Damaged Women Soap Natural For Treated Hair So Real (L, One Size)",shampoo,women,,,,3.33,
B00SD7DCLQ,"Suave Professionals Smoothing Shampoo, Keratin Infusion, 12.6 oz",shampoo,women,176.0,4.7,,3.39,
B01N97PCBH,"Fructis Pure Clean Purifying Shampoo, Silicone-Free, 12.5 Fl Oz, 1 Count (Packaging May Vary)",shampoo,women,20368.0,4.5,,3.47,
B01MFF7A02,"Fructis Color Shield Shampoo, Fortifying Shampoo for Color Treated Hair, Works on All Types of Hair and Color, Vegan and Paraben Free, 12.5 fl. oz.",shampoo,women,2929.0,4.6,,3.47,
B01MDTVV6T,"Fructis Curl Nourish Sulfate Free Moisturizing Shampoo, 12.5 Fl Oz, 1 Count (Packaging May Vary)",shampoo,women,5611.0,4.6,,3.47,
B003PJKNLY,"Prell Shampoo Original, 13.5 Oz",shampoo,women,1285.0,4.7,,3.49,
B0020100FM,Suave Naturals Gnetle Cleansing Shampoo - Wild Cherry Blossom - 22.5 oz,shampoo,women,19.0,3.3,,,
B07J6QTTVF,Neutral Roberts: Shower Refreshing Shampoo 250ml / 8.45fl.oz,shampoo,women,531.0,4.2,,,
B08BTMXSG6,TRESemmé Shampoo Moisture Rich 3 Count for Dry Hair Professional Quality Salon-Healthy Look and Shine Moisture Rich Formulated with Vitamin E and Biotin 28 oz,shampoo,women,4284.0,4.7,,17.97,
B01INE0KAY,Dove Nutritive Solutions Moisturizing Shampoo Daily Moisture for Dry Hair with Pro-Moisture Complex for Manageable and Silky Hair 12 oz (Pack of 4),shampoo,women,4223.0,4.7,,15.92,
B08BTG8NQC,Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,shampoo,women,860.0,4.6,,23.93,
B01INE0PJK,Dove Nutritive Solutions Strengthening Shampoo Intensive Repair 4 Count Formula for Damaged Hair Dry Hair Shampoo With Keratin Actives 12 oz,shampoo,women,1994.0,4.7,,15.92,
B0CSQLGNYF,"Shampoo Bar For Gray Hair Shampoo Bar For Grey Hair Shampoo Bar For Thinning Hair Shampoo Conditioner Bars Hair Mayonnaise (B, One Size)",shampoo,men,,,,,
B00UOL93CG,"Neutrogena T/Sal Therapeutic Shampoo for Scalp Build-Up Control with Salicylic Acid, Scalp Treatment for Dandruff, Scalp Psoriasis & Seborrheic Dermatitis Relief, 4.5 fl. oz",shampoo,men,7253.0,4.5,,6.99,
B0BW2VSB2S,Beard Color Shampoo For Men Natural Beard Darkening Shampoo For Men Blackening Shampoo Beard 30ml,shampoo,men,,,,0.73,
B00CHL3KN4,"Alberto V05 Moisture Milks Moisturizing Shampoo Strawberries & Cream, 15 Oz",shampoo,men,13.0,3.9,,8.64,
B0BXKMJMC4,"Natural Herbal Amla Shampoo for all Hair Types Herbal Thickening Shampoo with Argan Oil, Pumpkin Seed Oil, Red Korean Seaweed, Saw Palmetto, Tea Tree Oil",shampoo,men,,,,0.99,
B003VDGE80,"TRESemmé Shampoo Luxurious Moisture 3 oz, 88 Ml (639123)",shampoo,men,29.0,4.0,,,
B0C3LBV153,"Beard Color Shampoo For Men Natural Beard Darkening Shampoo For Men Blackening Shampoo Beard 30ml Fresh Wolf (Pink, One Size)",shampoo,men,,,,,
B0746N1T65,Silky Moisturizing Shampoo With Egg White+Propolis(200ml) 2307273,shampoo,men,1.0,5.0,,1.49,
