ASIN,Product Name,Category,Keyword,Unit Count,Number of Reviews,Average Review Score,Manufacturer,Price
B0CMVM7BBF,"Dove Men+Care 2-in-1 Shampoo + Conditioner Sandalwood &amp; Cardamom Oil for Thick &amp; Full Hair, + Vitamin B3 &amp; Mineral Complex, 17.5 oz",shampoo,men,17,32,4.9,,$10.99
B01INE0P6I,DOVE MEN + CARE Fortifying 2-in-1 Shampoo and Conditioner Fresh and Clean with Caffeine 4 Count For Everyday Care Helps Strengthen and Nourish Hair 12 oz,shampoo,men,47,9372,4.6,,$19.92
B003E1CYHO,"Tea Tree Special Shampoo, Deep Cleans, Refreshes Scalp, For All Hair Types, Especially Oily Hair",shampoo,men,10,55590,4.7,,$18.00
B08LHX596H,"Old Spice Reinvigorate Shampoo for Men with Tea Tree Oil, 21.9 Oz Each, Twin Pack",shampoo,men,43,1512,4.6,,$15.99
B08LR3HN72,"Old Spice Swagger 2-in-1 Shampoo and Conditioner for Men, Get Up To 80% Fuller-Looking Hair, 29.2 Fl Oz Each, Twin Pack",shampoo,men,59,3092,4.7,,$19.92
B07NFSPQ2H,"Head &amp; Shoulders 2-In-1 Shampoo And Conditioner, Anti Dandruff Treatment And Scalp Care, Lemon-Lime Scent Of Old Spice Pure Sport, 31.4 Fl Oz Each, Twin (Packaging May Vary)",shampoo,men,63,8180,4.8,,$27.81
B01N97PCBH,"Fructis Pure Clean Purifying Shampoo, Silicone-Free, 12.5 Fl Oz, 1 Count (Packaging May Vary)",shampoo,men,12,20368,4.5,,$3.47
B07YS58Y2C,"American Crew Shampoo for Men, Daily Cleanser, Naturally Derived, Vegan Formula, Citrus Mint Fragrance, 8.45 Fl Oz",shampoo,men,8,2345,4.6,,$9.98
B08LJ5PMB8,"Old Spice Fiji 2-in-1 Shampoo and Conditioner for Men, Get Up To 80% Fuller-Looking Hair, 21.9 Fl Oz Each, Twin Pack",shampoo,men,44,3560,4.7,,$17.58
B0CMVT1VS5,"Dove Men+Care 2-in-1 Shampoo + Conditioner Pure Fresh Orange &amp; Sage for Strong, Healthy-Looking Hair, with Vitamin C &amp; Mineral Complex, 17.5 oz",shampoo,men,17,39,4.6,,$10.99
B0B8XP27BN,"Every Man Jack 2-in-1 Tea Tree + Cedar Shampoo + Conditioner - Thicken, Cleanse, and Hydrate Hair with Coconut, Tea Tree Oil - Notes of Fresh Cedar - Naturally Derived and No Harmful Chemicals -24oz",shampoo,men,24,1955,4.5,,$18.99
B000RYYI7K,Dove Ultra Care Shampoo Daily Moisture for Dry Hair Shampoo with Bio-Restore Complex 20.4 oz,shampoo,men,21,2199,4.6,,$5.98
B0080PEM3S,Degree Advanced Antiperspirant Deodorant 72-Hour Sweat &amp; Odor Protection White Flowers &amp; Lychee Antiperspirant for Women with MotionSense Technology 2.6 oz,deodorant,women,3,24016,4.7,,$4.99
B08ZH9MZGX,"Lady Speed Stick Invisible Dry Antiperspirant Deodorant, Shower Fresh, 2.3oz, 4 Pack",deodorant,women,9,7447,4.7,,$6.78
B001ET76WG,"Degree Advanced Antiperspirant Deodorant Shower Clean, 48-Hour Sweat &amp; Odor Protection Antiperspirant for Women with MotionSense Technology 2.6 oz(Pack of 6)(Packaging May Vary)",deodorant,women,16,18776,4.7,,$14.38
B01HTJTPZA,Dove Advanced Care Antiperspirant Cool Essentials 4 Count Deodorant for Women For 48 Hour Protection And Soft And Comfortable Underarms 2.6 oz,deodorant,women,10,10154,4.8,,$12.98
B0CBCVPT69,Degree Advanced Antiperspirant Deodorant Vanilla &amp; Jasmine 72-Hour Sweat &amp; Odor Protection Antiperspirant For Women with MotionSense Technology 2.6 oz,deodorant,women,3,115,4.7,,$4.87
B00ZOIEHYS,"Dove Advanced Care Antiperspirant Caring Coconut, Deodorant Stick for Women, for 48 Hour Protection And Soft And Comfortable Underarms, 2.6 Ounce (Pack of 2)",deodorant,women,5,27350,4.7,,$9.88
B07GB3NVN1,"Native Deodorant | Natural Deodorant for Women and Men, 72 Hour Odor Control Aluminum Free with Baking Soda, Coconut Oil and Shea Butter | Coconut &amp; Vanilla",deodorant,women,3,83763,4.4,,$12.97
B078LTHTRY,Dove Advanced Care Invisible Antiperspirant Deodorant Stick No White Marks on 100 Colors Sheer Cool 48-Hour Sweat and Odor Protecting Deodorant for Women 2.6 oz,deodorant,women,1,12289,4.7,,$5.37
B00TJ6WLN0,"Mitchum Women&#x27;s Deodorant, Antiperspirant Stick, Triple Odor Defense Gel, 48 Hr Protection, Shower Fresh, 3.4 Oz (Pack of 2)",deodorant,women,7,18561,4.6,,$6.26
B000XGKL8C,"Secret Invisible Solid Antiperspirant and Deodorant for Women, Shower Fresh Scent, 2.6 oz",deodorant,women,3,6290,4.8,,$3.97
B00I69TI5K,"Dove Invisible Solid Antiperspirant Deodorant Stick for Women, Original Clean, For All Day Underarm Sweat &amp; Odor Protection 2.6 oz, 2 Count",deodorant,women,5,6239,4.8,,$6.88
B00HF3XSO0,Secret Clinical Strength Antiperspirant and Deodorant for Women Invisible Solid Completely Clean 2.6 Oz,deodorant,women,3,24079,4.7,,$12.97
B000XGKLEQ,Secret Original Fresh 2.7 oz Powder Body Deodorant for Women,deodorant,women,3,2315,4.7,,$3.97
B09NPVJ6NQ,"Secret Antiperspirant and Deodorant for Women Refreshing Lavender, Clear Gel, 48 Hr Odor Protection, 3.4 oz (Pack of 3)",deodorant,women,10,8186,4.6,,$20.49
B00TPRG5D0,"Degree Men Original Antiperspirant Deodorant for Men, Pack of 2, 48-Hour Sweat and Odor Protection, Cool Rush 2.7 oz",deodorant,men,5,3154,4.7,,$5.78
B072J2ZBPY,Degree Men UltraClear Antiperspirant Deodorant Black + White 4 count 72-Hour Sweat &amp; Odor Protection Antiperspirant For Men With MotionSense Technology 2.7 oz,deodorant,men,11,30954,4.7,,$16.50
B08NYHVJ5N,"Old Spice Aluminum Free Deodorant for Men, High Endurance Sport, 24/7 Odor Protection, 3 Oz Each, (Pack Of 3)",deodorant,men,9,10632,4.7,,$14.97
B08ZH6P1NY,"Speed Stick Men&#x27;s Deodorant, Regular, 3 Ounce, 4 Pack",deodorant,men,12,10251,4.6,,$6.89
B01HTJTMF8,"Dove Men + Care Antiperspirant Deodorant, 72hr Sweat &amp; Odor Protection, Vitamin E, Triple Moisturizer, 4 Pack",deodorant,men,1,27092,4.6,,$14.98
B004DH1AXM,"DOVE MEN + CARE Deodorant Stick Moisturizing Deodorant For 72-Hour Protection Clean Comfort Aluminum Free Deodorant For Men, 3 Ounce (Pack of 2)",deodorant,men,6,51704,4.5,,$12.78
B0B5B53NR7,"Gillette Clear Gel Men’s Antiperspirant and Deodorant, 72-Hour Sweat Protection, Cool Wave, #1 Clear Gel Brand for Men, 3.8 oz (Pack of 4)",deodorant,men,15,3127,4.7,,$20.92
B002VUAM46,"Degree Men Antiperspirant Deodorant Adventure 4 Count For Freshness and Odor Protection Deodorant for Men 2.7 oz, Woodsy, Stick",deodorant,men,11,21747,4.7,,$11.98
B09K3K32L6,"Every Man Jack Cedar + Red Sage Men’s Deodorant - Stay Fresh with Aluminum Free Deodorant For all Skin Types - Odor Crushing, Long Lasting, with Naturally Derived Ingredients - 3oz",deodorant,men,6,2291,4.1,,$14.99
B092N1D95M,"Harry&#x27;s Men&#x27;s Deodorant - Odor Control Deodorant - Aluminum-Free - Variety Pack - Stone, Shiso, Redwood, 2.5 Ounce (Pack of 3)",deodorant,men,7,6619,4.3,,$16.47
B08NYMBXG8,"Old Spice Aluminum Free Deodorant for Men, Refresh, 3 oz each, Pack of 3",deodorant,men,9,4364,4.6,,$14.97
B09NPNPKGS,"Old Spice Aluminum Free Deodorant for Men, Swagger Scent, 3.8 oz (Pack of 3)",deodorant,men,11,4971,4.6,,$20.91
B07D5HJST1,"Degree Men Original Antiperspirant Deodorant for Men, Pack of 2, 48-Hour Sweat and Odor Protection, Sport 2.7 oz",deodorant,men,5,738,4.7,,$5.78
B0014CQGMO,Degree Men Original Protection Antiperspirant Deodorant 48-Hour Sweat and Odor Protection Extreme Blast Antiperspirant For Men 2.7 oz,deodorant,men,3,61294,4.7,,$3.18
B08KT2Z93D,"eos Shea Better Body Lotion- Vanilla Cashmere, 24-Hour Moisture Skin Care, Lightweight &amp; Non-Greasy, Made with Natural Shea, Vegan, 16 fl oz",lotion,women,16,5860,4.7,,$8.37
B073CXZ8KR,"Nivea Oil Infused Body Lotion, Cherry Blossom Lotion with Jojoba Oil, Moisturizing Body Lotion for Dry Skin, 16.9 Fl Oz Pump Bottle",lotion,women,17,31710,4.7,,$7.28
B00DG8F02Q,"NIVEA Shea Nourish Body Lotion, Dry Skin Lotion with Shea Butter, 16.9 Fl Oz Pump Bottle",lotion,women,17,38954,4.6,,$5.81
B076G2XGY3,"NIVEA Essentially Enriched Body Lotion for Dry Skin, Pack of 2, 16.9 Fl Oz Pump Bottles",lotion,women,34,16802,4.7,,$10.98
B096W6F7H1,"Method Daily Lotion, Pure Peace, Plant-Based Moisturizer for 24 Hours of Hydration, 13.5 fl oz (Pack of 1)",lotion,women,13,1261,4.4,,$8.98
B003JT8PKQ,"Lubriderm Daily Moisture Lotion + Pro-Ceramide with Shea Butter &amp; Glycerin Helps Moisturize Dry Skin, Hydrating Face, Hand &amp; Body Lotion is Lightly Scented &amp; Non-Greasy, 24 fl. oz",lotion,women,24,30353,4.8,,$8.99
B07QBN245V,"Jergens Lavender Body Butter Body and Hand Lotion, Moisturizer for Women, 7 Fl Oz (Pack of 1), with Essential Oils for Indulgent Moisturization White",lotion,women,7,17334,4.5,,$7.97
B001459IEE,"Aveeno Daily Moisturizer, Body Lotion, For Dry Skin, Prebiotic Oat Fragrance Free, 18 fl. oz, Pack of 1",lotion,women,18,46457,4.7,,$6.98
B001PBOKRM,"Jergens Original Scent Dry Skin Lotion, Body and Hand Moisturizer for Long Lasting Skin Hydration, with HYDRALUCENCE blend and Cherry Almond Essence, 32 Ounce",lotion,women,32,19846,4.8,,$10.47
B000EGOG46,"Queen Helene Cocoa Butter Hand &amp; Body Lotion, 32 Oz (Packaging May Vary)",lotion,women,33,4301,4.5,,$3.98
B00W4TWD7I,"Jergens Skin Firming Body Lotion for Dry to Extra Dry Skin, Skin Tightening Cream with Collagen and Elastin, Hydralucence Blend Formula, 16.8 oz",lotion,women,17,9918,4.6,,$7.32
B0000AJ3PU,"Aveeno Stress Relief Moisturizing Body Lotion with Lavender, Natural Oatmeal and Chamomile &amp; Ylang-Ylang Essential Oils to Calm &amp; Relax, 12 fl. oz",lotion,women,12,31778,4.7,,$9.99
B00DG8F04Y,"NIVEA Essentially Enriched Body Lotion,Dry to Very Dry Skin, 16.9 Fl Oz, Package may vary",lotion,women,17,19988,4.7,,$5.81
B07DJWZLQL,"Neutrogena Hydro Boost Body Moisturizing Gel Cream with Hyaluronic Acid, Non-Greasy &amp; Fast Absorbing, Lightweight Hydrating Body Lotion for Normal to Dry Skin, Paraben- &amp; Dye-Free, 16 oz",lotion,women,16,28438,4.7,,$8.84
B00DEX61A8,"NIVEA MEN Maximum Hydration Body Lotion, 3-in-1 Nourishing Lotion for Men, 16.9 Fl Oz Bottle",lotion,men,17,20521,4.7,,$7.28
B01J9S17NW,"Vaseline Men&#x27;s Healing Moisture Hand &amp; Body Lotion For Dry or Cracked Skin Fast Absorbing Non-Greasy Lotion for Men 20.3 oz, Pack of 3",lotion,men,60,6891,4.7,,$16.79
B003JT8PKQ,"Lubriderm Daily Moisture Lotion + Pro-Ceramide with Shea Butter &amp; Glycerin Helps Moisturize Dry Skin, Hydrating Face, Hand &amp; Body Lotion is Lightly Scented &amp; Non-Greasy, 24 fl. oz",lotion,men,24,30353,4.8,,$8.99
B00AHH00MO,"Gold Bond Men&#x27;s Essentials Everyday Moisture Daily Body &amp; Hand Lotion, 14.5 oz., With Vitamin C",lotion,men,14,10905,4.7,,$9.99
B08DF1N618,"Breathable Body Lotion, 48 Hour Hydrating Lotion, Men&#x27;s Lotion, 13.5 Fl Oz Bottle",lotion,men,1,5595,4.6,,$7.29
B087Y28XLM,"Palmer&#x27;s Cocoa Butter Formula Men&#x27;s Lotion, 8.5 Ounce",lotion,men,9,1155,4.7,,$6.99
B0CKH5GJFN,Every Man Jack Mens Amber + Sandalwood Hand &amp; Body Lotion for All Skin Types - Dermatologist Tested &amp; Hypoallergenic - Nourish Skin with Lightweight Fast Absorbing Lotion - 13.5oz 2 Bottles,lotion,men,27,21,4.6,,$19.99
B00OW9OTN4,"Gold Bond Men&#x27;s Essentials Everyday Moisture Daily Body &amp; Hand Lotion, 21 oz., With Vitamin C",lotion,men,21,7255,4.7,,$11.99
B001459IEE,"Aveeno Daily Moisturizer, Body Lotion, For Dry Skin, Prebiotic Oat Fragrance Free, 18 fl. oz, Pack of 1",lotion,men,18,46457,4.7,,$6.98
B07RK4HST7,CeraVe Daily Moisturizing Lotion for Dry Skin | Body Lotion &amp; Face Moisturizer with Hyaluronic Acid and Ceramides | Daily Moisturizer | Fragrance Free | Oil-Free | 19 Ounce,lotion,men,19,105873,4.7,,$18.39
B076G2XGY3,"NIVEA Essentially Enriched Body Lotion for Dry Skin, Pack of 2, 16.9 Fl Oz Pump Bottles",lotion,men,34,16802,4.7,,$10.98
B0859LBY9C,"Bevel All Day Body Lotion for Men with Shea Butter and Argan Oil, Lightweight Formula Softens and Smoothes Skin, 16 Oz",lotion,men,16,1240,4.6,,$10.99
B0C4Q8DZNW,"Vaseline Lotion for Dry Skin - Men Extra Strength Lotion, Fast-Absorbing Body Lotion Jelly and Ultra-Hydrating Lipids, 3-in-1 Body, Face, &amp; Hands, 10 Oz Ea (Pack of 2)",lotion,men,20,115,4.6,,$12.99
B01HTJTV4U,"Vaseline Intensive Care Body Lotion for Dry Skin Cocoa Radiant Lotion Made with Ultra-Hydrating Lipids and Pure Cocoa Butter for a Long-Lasting, Radiant Glow 20.3 oz, Pack of 3",lotion,men,62,11123,4.8,,$20.94
B074P2DH7K,"O Naturals 100% Natural Bar Soap - Assorted 6 PCS Soap Gift Set - Organic Ingredients &amp; Essential Oils - Spa Gifts for Women &amp; Men, Body Wash Soap Bar &amp; Face Soap for Acne - Triple Milled Soap Bars",soap,women,24,23082,4.4,,$19.99
B019FCVA02,"Dove Beauty Bar Gentle Skin Cleanser Moisturizing for Gentle Soft Skin Care Indulging Sweet Cream More Moisturizing Than Bar Soap, 3.75 Ounce (Pack of 2)",soap,women,8,2963,4.6,,$4.29
B00IOVOCFQ,"Dove Beauty Bar For Softer Skin Coconut Milk More Moisturizing Than Bar Soap, 3.75 Ounce - 6 Count (Pack of 1) - Packaging May Vary",soap,women,22,21531,4.7,,$7.85
B002TSA93Y,Dove Beauty Bar Skin Cleanser for Gentle Soft Skin Care Shea Butter More Moisturizing Than Bar Soap 3.75 oz 8 Bars,soap,women,30,15202,4.8,,$10.64
B093K5NTSB,"Bali Soap - Feminine Collection Natural Soap Bar Gift Set, 6 pc Variety Pack, Bergamot-Gardenia, Jasmine-Mint, Lotus-Neroli, Chamomile-Moringa, Tuberose-Lily, Greentea-Lime 3.5 Oz each",soap,women,21,3567,4.3,,$19.95
B09XQXV7GS,Yoni Soap Bar - Pack 3 Ph Balance Probiotics &amp; Natural Ingredients - Gentle Cleansing Formula Eliminates Odor Vaginal Health - Feminine Wash - Moisturizing Intimate (Rose),soap,women,11,469,4.2,,$9.99
B00XBGOPEW,"Bali Soap - Green Collection - Natural Soap Bar Gift Set, Face Soap or Body Soap, 6 pc Variety Soap Pack (Coconut, Papaya, Vanilla, Lemongrass, Jasmine, Ylang-Ylang) 3.5 Oz each",soap,women,21,12789,4.3,,$19.95
B00YQ9PPB0,"Bundle of 6 Greenwich Bay Trading Co. Soaps - 1.9oz Soaps in The Following Scents: Fresh Milk, Lemon Verbena, White Tea Calendula, Lavender Chamomile, Pomegranate Shea Butter, and Passion Flower and",soap,women,11,1045,4.5,,$9.99
B08TNTD2ZL,"Camay Classic Bar Soap, with Rose Essence, 4.98 Ounce (Pack of 6)",soap,women,530,2589,4.3,,$5.30
B07NF4GRHW,"Floral 4 large Soap bar - Flower scents Lavender, Lilac, Hydrangea - Anniversary Wedding Gift Set - Handmade Natural Organic with Essential Oil, Pink, 5 Ounce (Pack of 4)",soap,women,20,728,4.5,,$17.74
B07CMFDSGK,"Crate 61, Vegan Natural Bar Soap, Dry Skin, Handmade Soap With Premium Essential Oils, Pack of 6 (Citrus)",soap,women,24,36203,4.5,,$22.95
B07QB4XVQ4,"Wavertree &amp; London English Rose (2 Bars), 7oz Moisturizing Natural Soap Bar, French -Milled and enriched with Shea Butter",soap,women,14,1733,4.6,,$16.95
B08LM864R5,"Dove Skin Care Beauty Bar For Softer Skin Cucumber and Green Tea More Moisturizing Than Bar Soap 3.75 oz, 14 Bars",soap,women,53,24288,4.8,,$12.67
