ASIN,Product Name,Category,Keyword,Number of Reviews,Average Review Score,Manufacturer,Price,Unit Count
B0BHJK1CHG,"Scotch Porter Hydrating Hair Wash for Men | Gentle Shampoo Promotes Softness, Shine & Scalp Health | Formulated with Non-Toxic Ingredients, Free of Parabens, Sulfates & Silicones | Vegan | 13oz",shampoo,women,63,4.9,,11.97,
B01MRVJ8HF,"Dove Nutritive Solutions Shampoo for Damaged Hair with Pump Intensive Repair Dry Hair Shampoo Formula with Keratin Actives 31 oz, Pack of 4",shampoo,women,505,4.8,,33.84,
B01NABG95S,"Pantene Pro-V Smooth & Sleek Shampoo, 30.4 fl oz (Packaging May Vary)",shampoo,women,392,4.8,,,
B002Z36VWQ,Paul Mitchell Awapuhi Shampoo Gallon Bottle,shampoo,women,267,4.8,,80.0,
B01N3YS1YO,"Pantene Pro-V Sheer Volume Shampoo, 30.4 fl oz",shampoo,women,241,4.8,,38.57,
B00GGKORKW,Pantene Pro-V Curly Perfection Moisturizing Shampoo 12.6 oz (Pack of 2),shampoo,women,239,4.8,,,
B00JVGQP0I,Tigi Bed Head Urban Anti+dotes Resurrection Shampoo 750ml/25.36oz,shampoo,women,231,4.8,,27.97,
B00HFTC67E,"Herbal Essences Shine Collection Shampoo, 33.8 Fluid Ounce, Yellow, chamomile, botanical",shampoo,women,220,4.8,,,
B00SOWWRWU,Avlon Affirm MoisturRight 32-ounce Nourishing Shampoo,shampoo,women,218,4.8,,21.99,
B00PKVGFL2,Design Essentials Milk & Honey Neutralizing Conditioning Shampoo 32oz,shampoo,women,213,4.8,,30.33,
B01MRVHN6U,"Dove Damaged Hair Shampoo Intensive Repair, 31 Ounce",shampoo,women,209,4.8,,,
B07QVL2PFY,Dove Dermacare Scalp Anti-Dandruff Shampoo Soothing Moisture 12 oz Pack Of 6,shampoo,women,180,4.8,,29.28,
B002UEERKS,Botanum Shampoo for Chemically Processed Hair - 32 oz / liter.,shampoo,women,147,4.8,,27.62,
B0CP7FS5S9,"Hair Dye Shampoo, Shampoo for Color Treated Hair, Hair Dye Shampoo 3 In 1, Hair Dye, Shampoo for Gray Hair for Women & Men, Long Lasting & Coverage, Chestnut Brown",shampoo,women,47,4.9,,18.99,
B01KYQG01W,AGADIR Daily Moisturizing Shampoo ( For All Hair Types ) 12.4 oz,shampoo,women,135,4.8,,16.99,
B0B32ZX56M,"Cantu Avocado Hydrating Sulfate-Free Shampoo with Pure Shea Butter, 13.5 oz (Pack of 2) (Packaging May Vary)",shampoo,women,125,4.8,,14.99,
B0916GFVJ7,"GREAT CLIPS Solutions Moisturizing Shampoo, 10oz | Repairs & Restores Damaged Hair | For Dry, Coarse, or Curly Hair",shampoo,women,106,4.8,,16.99,
B08N6FZNCW,SexyHair Healthy Strengthening Anti-Breakage Shampoo/Conditioner | Helps Provide Stength and Flexibility to Damaged Hair | SLS and SLES Sulfate Free,shampoo,women,106,4.8,,45.95,
B00BPN3Y4U,Therapeutic Dandra-Solv Moisturizing Shampoo 32 oz. Unisex by Nairobi,shampoo,women,93,4.8,,,
B0B4BR9SKV,"Pantene Essential Botanicals Passion Fruit & Cocoa Butter Shampoo, 38.2 Fl Oz",shampoo,women,88,4.8,,29.95,
B0C4Z8FLS5,"Head & Shoulders Itchy Scalp Care Dandruff Shampoo, Anti-Dandruff Treatment, Infused with Eucalyptus, 32.1 Fl Oz Each, Twin Pack",shampoo,women,79,4.8,,26.11,
B01MYTITZQ,"Herbal Essences Biorenew Coconut Milk Hydrate Shampoo, 13.5 Fl Oz,Pack of 6",shampoo,women,75,4.8,,52.18,
B07LGF838T,"Hair Food Shampoo Coconut Milk and Chai Spice, Avocado & Argan Oil, 10.1 Oz",shampoo,women,72,4.8,,,
B07C1F7J7H,"TRESemmé Shampoo Repair Protect, 22 Fl Oz",shampoo,women,72,4.8,,14.65,
B0BQ5LST1X,Method Men 2 in 1 Shampoo and Conditioner; Glacier + Granite; 14 oz; 6 pack,shampoo,men,88,4.9,,63.54,
B07F38LXDM,"Head & Shoulders Dandruff Shampoo, Anti-Dandruff Treatment, Classic Clean for Daily Use, Paraben Free, 32.1 Fl Oz, Twin Pack",shampoo,men,11661,4.8,,29.69,
B07NFSPQ2H,"Head & Shoulders 2-In-1 Shampoo And Conditioner, Anti Dandruff Treatment And Scalp Care, Lemon-Lime Scent Of Old Spice Pure Sport, 31.4 Fl Oz Each, Twin (Packaging May Vary)",shampoo,men,8180,4.8,,27.81,
B07N9HZ11H,"Head & Shoulders Shampoo and Conditioner 2 in 1, Anti Dandruff Treatment, Dry Scalp Care with Almond Oil, 32.1 fl oz, Twin Pack (Packaging May Vary)",shampoo,men,5076,4.8,,26.16,
B07F3N16KT,"Head & Shoulders 2 in 1 Dandruff Shampoo and Conditioner, Anti-Dandruff Treatment, Green Apple for Daily Use, Paraben Free, 32.1 oz, 2 PACK",shampoo,men,5311,4.8,,26.11,
B07KYGWQ7H,"Aussie Paraben-Free Miracle Moist Shampoo with Avocado & Jojoba for Dry Hair, 30.4 Fluid Ounce, (Pack of 4)",shampoo,men,4297,4.8,,31.96,
B00PKV38IU,"Oat Protein & Henna Deep Cleansing Shampoo, 32oz",shampoo,men,4270,4.8,,23.99,
B09BZPVG4W,Biolage Color Last Shampoo & Conditioner Set | Helps Protect Hair & Maintain Vibrant Color | For Color-Treated Hair | Paraben & Silicone-Free | Vegan,shampoo,men,3841,4.8,,48.0,
B07NH3RFN2,"Head & Shoulders Shampoo, Daily-Use Anti-Dandruff Paraben Free Treatment, Dry Scalp Care with Almond Oil, 32.1 fl oz, Twin Pack (Packaging May Vary)",shampoo,men,3435,4.8,,25.99,
B07F39WKHD,"Head & Shoulders Mens 2 in 1 Dandruff Shampoo and Conditioner, Anti-Dandruff Treatment, Old Spice Swagger for Daily Use, Paraben Free, 31.4oz, 2 PACK",shampoo,men,2964,4.8,,25.99,
B07F38G1RT,"Head & Shoulders Shampoo, Anti Dandruff Treatment and Scalp Care, Green Apple, 32.1 fl oz, Twin Pack",shampoo,men,2927,4.8,,25.99,
B01IA9DNBU,"Prell Shampoo, Classic Clean 13.50 oz (Pack of 3)",shampoo,men,2933,4.8,,17.33,
B01IA9E378,"Prell Shampoo, Classic Clean 13.50 oz (Pack of 8)",shampoo,men,1533,4.8,,,
B003DVSTNI,"Creme Of Nature Professional Detangling & Conditioning Shampoo, 32 Oz",shampoo,men,1394,4.8,,,
B01N8TMIQ1,Pantene Classic Clean 2 in 1 Shampoo & Conditioner 30.4 Fl Oz (Pack of 4),shampoo,men,1380,4.8,,56.0,
B01N1KSQ9A,"Pantene Pro-V Daily Moisture Renewal Shampoo, 30.4 fl oz(Packaging May Vary)",shampoo,men,1393,4.8,,,
